,temperature,x,y
0,11.3,991286.4845362244,6020753.060576632
1,15.5,994696.5344976947,5854288.154020127
2,3.1,841652.3834847771,5859503.006876085
3,10.1,770822.2405218146,5832849.235317758
4,8.9,959775.0536383908,5923655.902519462
5,12.6,1064971.638479562,6021381.618647161
6,9.7,1049957.0882003468,5878665.339548966
7,3.6,955179.6737389537,5882027.480621908
8,1.3,1077464.8022923095,5908286.087492258
9,12.4,1057819.3611960942,5944780.443905249
10,3.0,838087.3767921226,5938452.198846835
11,9.9,844197.5923222746,6030841.528903422
12,4.0,1085777.5852672972,5881446.663961202
13,7.0,830888.3453225215,5940563.062094295
14,10.8,916523.3126440446,6033507.427470993
15,16.2,999448.3182816963,5834366.466048723
16,3.4,911963.3323426798,5839464.184029224
17,11.4,1031585.6986762607,6025521.754972859
18,1.3,1076304.5192397714,5854769.890332286
19,9.6,706029.6214615161,5864866.565840905
20,2.8,870876.7554442628,5847971.461602274
21,6.9,822006.0518326354,5880837.844676935
22,9.9,763318.4162864216,5843625.118819264
23,8.6,899401.4844041128,6005035.178174894
24,3.2,1142939.4758726985,5884872.951734083
25,3.0,732071.0352207497,5916097.7280528145
26,15.1,957699.5017325502,5831856.913202285
27,7.3,942279.6371873567,5972860.164752853
28,1.0,785284.5348072044,5963603.311968381
29,5.8,776879.2453353674,5950103.400802917
30,12.3,1060939.6465230295,5920945.161948571
31,5.1,794782.2024421956,5857567.908398584
32,5.0,978676.1012996715,5812526.810654102
33,1.4,790178.2509419675,5843320.719497106
34,-4.5,798240.2311041978,5759363.90632021
35,8.4,789325.6549619818,5971645.318624664
36,-3.5,1021951.2193870842,5916402.5465509035
37,10.3,785816.6419731962,5949848.048072741
38,2.8,1095772.517067662,5911596.992604918
39,9.1,818149.3880741025,5999671.586707385
40,7.8,985563.4381950514,5894302.354322956
41,7.7,1013952.3573761337,5986804.640875225
42,-5.3,900878.3600884671,5848966.084775124
43,8.7,891086.2524003277,5971409.641427405
44,4.3,974775.9116202383,5963807.851037175
45,9.9,1021395.2898500627,5929636.511549158
46,3.7,936247.0113422879,5913005.389365205
47,8.9,782213.8979731627,5809716.19569987
48,1.7,835858.7605864413,5798335.090524447
49,7.6,772682.8344909335,6011527.76681744
50,5.7,892813.8195779485,5924051.224647884
51,7.4,791894.3522120365,5904839.744708012
