,temperature,x,y
0,13.1,991286.4845362244,6020753.060576632
1,10.4,994696.5344976947,5854288.154020127
2,7.2,841652.3834847771,5859503.006876085
3,11.1,770822.2405218146,5832849.235317758
4,11.4,959775.0536383908,5923655.902519462
5,12.7,1064971.638479562,6021381.618647161
6,9.9,1049957.0882003468,5878665.339548966
7,4.6,955179.6737389537,5882027.480621908
8,3.6,1077464.8022923095,5908286.087492258
9,13.4,1057819.3611960942,5944780.443905249
10,7.8,838087.3767921226,5938452.198846835
11,14.0,844197.5923222746,6030841.528903422
12,7.2,1085777.5852672972,5881446.663961202
13,12.6,830888.3453225215,5940563.062094295
14,13.6,916523.3126440446,6033507.427470993
15,12.3,999448.3182816963,5834366.466048723
16,5.4,911963.3323426798,5839464.184029224
17,11.0,1031585.6986762607,6025521.754972859
18,1.8,1076304.5192397714,5854769.890332286
19,11.0,706029.6214615161,5864866.565840905
20,4.7,870876.7554442628,5847971.461602274
21,11.6,822006.0518326354,5880837.844676935
22,9.6,763318.4162864216,5843625.118819264
23,13.4,899401.4844041128,6005035.178174894
24,1.6,1142939.4758726985,5884872.951734083
25,6.2,732071.0352207497,5916097.7280528145
26,12.1,957699.5017325502,5831856.913202285
27,13.8,942279.6371873567,5972860.164752853
28,3.2,785284.5348072044,5963603.311968381
29,7.1,776879.2453353674,5950103.400802917
30,16.3,1060939.6465230295,5920945.161948571
31,9.4,794782.2024421956,5857567.908398584
32,2.0,978676.1012996715,5812526.810654102
33,5.7,790178.2509419675,5843320.719497106
34,-4.8,798240.2311041978,5759363.90632021
35,11.5,789325.6549619818,5971645.318624664
36,-2.6,1021951.2193870842,5916402.5465509035
37,13.0,785816.6419731962,5949848.048072741
38,5.8,1095772.517067662,5911596.992604918
39,13.1,818149.3880741025,5999671.586707385
40,8.2,985563.4381950514,5894302.354322956
41,12.0,1013952.3573761337,5986804.640875225
42,-4.8,900878.3600884671,5848966.084775124
43,13.0,891086.2524003277,5971409.641427405
44,9.8,974775.9116202383,5963807.851037175
45,8.6,1021395.2898500627,5929636.511549158
46,7.6,936247.0113422879,5913005.389365205
47,11.5,782213.8979731627,5809716.19569987
48,4.7,835858.7605864413,5798335.090524447
49,11.1,772682.8344909335,6011527.76681744
50,8.8,892813.8195779485,5924051.224647884
51,11.6,791894.3522120365,5904839.744708012
52,11.6,852433.6761681057,5876865.023106546
53,12.4,681526.6430650455,5820265.846781348
54,12.5,948818.989354517,5941433.9257015465
55,13.4,911728.2255781244,5917540.379938606
56,12.8,1009322.6910735322,5947720.7262376165
57,-5.2,866704.8348878034,5777726.784847079
58,13.5,825446.0467371292,5971355.104111863
59,1.5,927653.8145699919,5872440.901600047
60,12.9,1020101.5347280634,5821305.486303356
61,6.6,872387.3609343275,5811702.573297585
62,9.9,956831.543662835,5892054.777223309
63,14.1,887627.8897798529,6001544.924636177
64,-2.3,959076.5238336631,5885532.48696449
65,12.6,1032978.9734230291,6040846.854153421
66,13.8,942928.6298186814,6056639.136674624
67,7.5,995376.2513084785,6002813.108360686
68,12.9,1025848.403440266,5905431.7038580375
69,12.9,876099.8659522833,5888736.9739780305
70,-8.9,888896.9319748963,5868529.336673357
71,13.3,846639.4966723158,5961494.549008775
72,7.8,735535.8543716904,5938831.548724377
73,9.7,756109.47738214,5955623.168681999
74,2.8,678992.9001350998,5848682.495097888
75,11.6,986144.4146175015,5971372.7918524
76,11.8,869009.1483472241,5932224.897664806
77,1.4,781214.4715848208,5868309.857549094
78,14.1,911513.9355583474,6040113.043534883
79,-2.7,809142.7507130002,5796246.077479216
80,7.5,702696.2706292022,5888399.373872158
81,-3.6,801921.2327062591,5832866.6454744
82,8.9,781084.0051416109,5799424.026117609
83,11.2,978218.4668730203,5807990.196173467
84,10.9,997435.6618881541,5780963.482470462
85,13.6,924058.7516148229,5948020.280808001
86,9.3,934774.4771180742,6021095.665185001
87,11.4,994484.693506715,5806029.563433685
88,10.9,786997.2964925496,5886189.314635566
89,11.9,731144.5230988773,5899247.364996891
90,-0.4,993497.734901342,5846313.844505285
91,11.9,909397.9746773489,5898466.285661807
92,12.0,804313.5998828975,5791737.377937007
93,7.1,830528.1154503146,5828357.596050068
94,0.7,1003865.2530373918,5768753.370272796
95,-2.8,869914.5097658457,5773401.548905946
96,12.7,916473.2188731876,5981965.038634792
97,4.9,848701.9128782427,5804090.575161999
98,13.7,876965.0410347285,6035976.47545477
99,13.4,810201.5103899352,5937708.394644459
100,-0.7,1142293.8228260975,5912281.479592254
101,4.5,883882.6568316042,5942831.79789813
102,12.6,774016.2193516552,5942073.09307845
103,12.3,693259.7173946565,5844852.345367947
104,12.8,1070081.5370654454,6003764.203530628
105,9.7,763455.6732185697,5872534.012921302
106,-1.4,1115373.0964090878,5846161.274160723
107,11.9,772825.3234391488,5911372.8542772615
108,2.4,918644.2829021289,5938626.12667845
109,8.3,967156.0924754387,5863229.541682879
110,-6.8,1093311.1318067322,5847596.508625408
111,-3.1,1060823.9855720953,5873330.276485275
112,8.4,808875.249976624,5900988.111773115
113,6.0,1120204.0283510431,5836162.942976918
114,10.5,742218.3634040107,5862825.630740744
115,-0.7,947706.1284050565,5851637.540904225
116,11.1,877126.4542963788,6013295.38296964
117,0.5,1022429.8931974954,5854945.396932626
118,10.7,1004537.1774838201,6049027.822753988
119,3.5,1099770.6678989932,5865084.988203314
120,11.1,961462.7684383076,5955315.832812752
121,13.1,959581.135085429,6055403.385246647
122,10.8,1076245.1859511784,5938076.944229601
123,11.2,891940.9634506386,5933433.280418302
124,8.5,1144720.9216838633,5908395.840042738
125,1.6,1086737.0479584443,5849903.319973316
126,2.8,896827.2211795184,5811946.861192933
127,14.4,814333.5785686907,5815271.230832
128,10.4,855723.3897600285,6035905.525437493
129,9.6,1046231.8927604407,6011797.937626195
130,5.2,1160650.7408163808,5877382.995500999
131,11.1,994351.1101177633,5755290.334791889
132,-1.6,1040097.854859259,5982884.332605502
133,12.6,844383.0505939362,5901329.771510473
134,-4.6,937957.3239988356,5904694.930483303
135,8.3,945127.5237203211,5999615.3928220775
136,5.6,924858.6934756634,5861625.16879472
137,13.3,1059484.8120978524,5962901.53405976
138,6.2,1063594.6163784491,5902180.485816954
139,7.2,1022882.6295665515,5881524.9576854035
140,9.1,758652.793788294,5856198.447713434
141,6.8,1071761.7934594792,5837102.365118373
142,9.2,746961.4642677304,5880555.656029158
143,13.6,873067.9683010377,5829018.708177706
144,-3.1,1091642.786598213,5914910.778520353
145,13.3,866890.6271179373,5983799.459624761
146,13.3,965990.3547678515,5978210.816377566
147,14.4,915819.2168647771,6030084.328780959
148,6.1,862992.8864673018,5785039.556563531
149,13.5,948207.0661136262,6012162.072762202
150,13.0,953533.0358311395,6003973.800407989
151,13.4,950212.3754207761,6020708.588857661
