,pressure,x,y
70,709.5,809142.416754528,5796244.311555786
71,877.4,702696.2706292022,5888399.373872158
72,688.7,801921.2327062591,5832866.6454744
73,947.4,978228.0403492287,5808033.438506463
74,956.0,997458.4823837667,5781025.023216594
75,942.4,924065.5421037612,5948023.874218665
76,898.0,934790.8410832208,6021095.665185001
77,966.3,994491.8179541258,5806030.527730534
78,944.5,731144.5230988773,5899247.364996891
79,759.1,993497.734901342,5846313.844505285
80,927.6,909396.4162044778,5898474.893559369
81,898.7,804313.5998828975,5791737.377937007
82,836.2,830534.0153833266,5828363.074231185
83,816.7,1003865.2530373918,5768753.370272796
84,695.1,869914.5097658457,5773401.548905946
85,942.5,916474.5547070772,5981967.334288783
86,820.5,848703.471351114,5804081.577036207
87,955.1,876965.0410347285,6035976.47545477
88,939.1,810207.4103229472,5937713.452103133
89,741.0,1142293.8228260975,5912281.479592254
90,838.6,883889.781279015,5942835.878889968
91,938.5,774037.4813743967,5942085.008543268
92,941.8,693266.8418420672,5844852.829642081
93,946.1,1070081.5370654454,6003764.203530628
94,900.5,763455.6732185697,5872534.822589294
95,752.3,1115373.0964090878,5846161.274160723
96,938.1,772832.1139280872,5911373.342235453
97,768.3,918638.3829691169,5938626.12667845
98,878.9,967148.0774721018,5863235.365124125
99,658.8,1093297.2168703827,5847591.179951406
100,714.6,1060823.9855720953,5873330.276485275
101,877.3,808876.8084494951,5900991.848350547
102,869.7,1120211.4867569266,5836166.652086359
103,942.2,742224.597295495,5862826.439514636
104,944.2,1025925.9931253487,5963112.9286769405
105,787.0,947634.3273334948,5851654.503582459
106,924.4,877132.3542293909,6013298.0160686085
107,812.9,1022436.1270889797,5854945.881762337
108,911.4,1004537.1774838201,6049028.814255732
109,805.4,1099777.4583879316,5865085.4735923875
110,904.5,961466.4419815039,5955324.496920079
111,942.7,959589.8180057108,6055409.834774367
112,946.6,995229.6435391037,5978866.458808277
113,909.8,891940.9634506386,5933434.258801623
114,847.2,1144728.046131274,5908396.327834924
115,796.2,1086737.0479584443,5849903.319973316
116,829.9,896724.9185674795,5811965.195119112
117,937.5,815994.4653713263,5815457.536776628
118,904.9,1046239.3511663239,6011801.063890721
119,837.9,1160651.9653307793,5877392.068796238
120,950.8,994346.2120601682,5755296.40715737
121,947.1,999808.5481539036,6051902.334353265
122,731.1,1040105.3132651421,5982882.528686886
123,929.3,844383.0505939362,5901338.869621974
124,677.0,937957.3239988356,5904694.930483303
125,843.6,924868.6009103442,5861629.21211279
126,940.3,1059491.9365452633,5962905.624464163
127,820.9,1063594.6163784491,5902181.460708873
128,869.1,1071761.7934594792,5837102.365118373
129,918.9,873074.0908730313,5829022.7365535945
130,714.3,1091643.454515158,5914871.400724048
131,945.9,866897.7515653481,5983800.443684207
132,938.3,965997.8131737349,5978214.913989139
133,955.8,915819.2168647771,6030084.328780959
134,813.5,862996.8939689703,5785041.320254369
135,942.8,948214.190561037,6012166.1864413405
136,930.1,953534.0377065567,6003980.704861941
137,944.7,950218.8319512423,6020713.200729008
