,thetaE,x,y
0,34.36027478630302,991286.4845362244,6020753.060576632
1,39.42151926725779,994696.5344976947,5854288.154020127
2,31.132848101545505,841652.3834847771,5859503.006876085
3,31.554920995659415,770822.2405218146,5832849.235317758
4,29.012261374864067,959775.0536383908,5923655.902519462
5,36.05908392337233,1064971.638479562,6021381.618647161
6,34.43704653857043,1049957.0882003468,5878665.339548966
7,32.05003993151058,955179.6737389537,5882027.480621908
8,32.36578548346813,1077464.8022923095,5908286.087492258
9,35.65611151580606,1057819.3611960942,5944780.443905249
10,31.99660285229652,844197.5923222746,6030841.528903422
11,29.57832036269417,830888.3453225215,5940563.062094295
12,31.144521465749733,916523.3126440446,6033507.427470993
13,36.293555494924135,999448.3182816963,5834366.466048723
14,34.82351521464574,1031585.6986762607,6025521.754972859
15,31.665324208183847,706029.6214615161,5864866.565840905
16,32.37895471066594,870876.7554442628,5847971.461602274
17,32.102604551775016,822006.0518326354,5880837.844676935
18,35.15416807721596,763318.4162864216,5843625.118819264
19,31.722612363227483,899401.4844041128,6005035.178174894
20,35.09472280189573,1142939.4758726985,5884872.951734083
21,30.05706043829889,732071.0352207497,5916097.7280528145
22,36.44397203010902,957699.5017325502,5831856.913202285
23,30.601655140937908,942279.6371873567,5972860.164752853
24,31.159132052904113,785284.5348072044,5963603.311968381
25,32.46294706830628,776879.2453353674,5950103.400802917
26,36.01420759864982,1060939.6465230295,5920945.161948571
27,31.119675068161598,794782.2024421956,5857567.908398584
28,38.33474729546725,978676.1012996715,5812526.810654102
29,31.75023654197929,798240.2311041978,5759363.90632021
30,32.87002424052508,1021951.2193870842,5916402.5465509035
31,33.53662848486124,785816.6419731962,5949848.048072741
32,32.97845822497794,1095772.517067662,5911596.992604918
33,31.578693139403413,818149.3880741025,5999671.586707385
34,33.99301415567004,985563.4381950514,5894302.354322956
35,33.291149732422184,1013952.3573761337,5986804.640875225
36,35.3774607232146,900878.3600884671,5848966.084775124
37,34.09861044975844,891086.2524003277,5971409.641427405
38,30.13703466022224,974775.9116202383,5963807.851037175
39,35.46155409307181,1021395.2898500627,5929636.511549158
40,28.947219367271487,936247.0113422879,5913005.389365205
41,31.067208993899442,782213.8979731627,5809716.19569987
42,34.8780370475547,835858.7605864413,5798335.090524447
